Country,Authors,Year,Title,Journal or book,Volume,Pages,Theory,Practice,Water,Energy,Financial,Environment,Mining,Industrial,Services/Public,Procurement,Health,Transport,Other
IN,"Shukla, S., Mishra, P.K., Jain, R., Yadav, H.C.",2016,An integrated decision making approach for ERP system selection using SWARA and PROMETHEE method.,International Journal of Intelligent Enterprise,3(2),120-147.,0,1,0,0,0,0,0,1,0,0,0,0,0
IR,"Sibevei, A., Naji Azimi, Z., Ahmadjo, S., Mortazavi, M.M.",2016,An Integrated AHP-PROMETHEE Method for Selecting the most Suitable Ethylene Propylene Diene Termonomer.,Journal of Petroleum Science and Technology,6(1),53-62.,0,1,0,0,0,0,0,1,0,0,0,0,0
IN,"Sidhu, J., Singh, S.",2019,Using the improved PROMETHEE for selection of trustworthy cloud database servers.,International Arab Journal of Information Technology,16(2),194-202.,0,1,0,0,0,0,0,0,1,0,0,0,0
IN,"Sidhu, J., Singh, S.",2017,Design and Comparative Analysis of MCDM-based Multi-dimensional Trust Evaluation Schemes for Determining Trustworthiness of Cloud Service Providers.,Journal of Grid Computing,15(2),197-218.,0,1,0,0,0,0,0,0,1,0,0,0,0
PL,"Sielska, A.",2010,Multicriteria Rankings of Open-end Investment Funds and their Stability.,Operations Research and Decisions,20)1),111-129.,0,1,0,0,1,0,0,0,0,0,0,0,0
IN,"Silas, S., Ezra, K., Rajsingh, E.B.",2012,An analysis on the effect of mobility and load on fault tolerant service selection framework for pervasive environments.,European Journal of Scientific Research,67(2),301-308.,0,1,0,0,0,0,0,0,1,0,0,0,0
IN,"Silas, S., Ezra, K., Rajsingh, E.B.",2012,An Effective User-Driven Framework for Selection of Social Network Services.,Computational Social Networks,ISBN 978-1-4471-4050-4,229-245.,0,1,0,0,0,0,0,0,1,0,0,0,0
IN,"Silas, S., Ezra, K., Rajsingh, E.B.",2012,A novel fault tolerant service selection framework for pervasive computing.,Human-centric Computing and Information Sciences,2,.,0,1,0,0,0,0,0,0,1,0,0,0,0
IN,"Silas, S., Rajsingh, E.B.",2016,Performance Analysis on Algorithms for Selection of Desired Healthcare Services.,Perspectives in Science,8(C),107-109.,0,1,0,0,0,0,0,0,0,0,1,0,0
IN,"Silas, S., Rajsingh, E.B., Ezra, K.",2013,An efficient service selection framework for pervasive environments.,International Journal of Wireless and Mobile Computing,6(1),80-90.,0,1,0,0,0,0,0,0,1,0,0,0,0
BR,"Silva, L.G.D.O., de Almeida-Filho, A.T.",2018,A new PROMETHEE-based approach applied within a framework for conflict analysis in Evidence Theory integrating three conflict measures.,Expert Systems with Applications,113,223-232.,1,0,0,0,0,0,0,0,0,0,0,0,0
BR,"Silva, M., Gusmo, A.P., Clemente, T., Santiago, K., Costa, A.P.",2019,A Multicriteria Nominal Classification Method to Define Public Safety Policies in Brazilian States.,"2018 IEEE International Conference on Systems, Man, and Cybernetics",2018,3108-3111.,0,1,0,0,0,0,0,0,1,0,0,0,0
BR,"Silva, M.M., Gusmao, A.P.H.D., Costa, A.P.C.S., Leyva-Lopez, J.C.",2019,An Outranking Multicriteria Method for Nominal Classification Problems with Minimum Performance Profiles.,Mathematical Problems in Engineering,2019,.,1,0,0,0,0,0,0,0,0,0,0,0,0
BR,"Silva, M.M., Gusmao, A.P.H., Poleto, T.., Costa, A.P.C.S.",2017,A nominal classification method using minimum profiles to classify it service contractors.,"IEEE International Conference on Systems, Man, and Cybernetics",2017,3329-3333.,0,1,0,0,0,0,0,0,1,0,0,0,0
BR,"Silva, M.M., Hipel, K.W., Kilgour, D.M., Costa, A.P.C.S.",2017,"Urban planning in Recife, Brazil: Evidence from a conflict analysis on the New Recife Project.",Journal of Urban Planning and Development,143(3),.,0,1,0,0,0,0,0,0,1,0,0,0,0
BR,"Silva, V., Morais, D.C., Almeida, A.T.",2010,Prioritizing complex issues of hydrographic basin committees by group decision approach.,Brazilian Journal of Operations and Production Management,7,123-139,0,1,1,0,0,1,0,0,0,0,0,0,0
BR,"Silva, V., Morais, D.C., Almeida, A.T.",2010,A Multicriteria Group Decision Model to Support Watershed Committees in Brazil., Water Resources Management, 24(14), 4075–4091.,0,1,1,0,0,1,0,0,0,0,0,0,0
BR,"Silva, V., Schramm, F., de Carvalho, H.",2014,The use of the PROMETHÉE method for the selection of candidates to Pronatec's scholarship.,Produçao,24(3),548-558,0,1,0,0,0,0,0,0,1,0,0,0,0
BR,"Silva, V., Schramm, F.",2015,A Multi-criteria Decision Support System for Supplier Selection.,Decision Models in Engineering and Management,ISBN 978-3-319-11948-9,129-141.,0,1,0,0,0,0,0,0,0,1,0,0,0
RS,"Simeunovic, V., Jovanovic, J., Saric, M., Vranes, S.",2002,A Generic Framework for Web-Based Intelligent Decision Support Systems.,Practical Aspects of Knowledge Management,ISBN 978-3-540-00314-4,525-536.,1,0,0,0,0,0,0,0,0,0,0,0,0
RS,"Simic, D., Ilin, V., Tanackov, I., Svircevic, V., Simic, S.",2015,A hybrid analytic hierarchy process for clustering and ranking best location for logistics distribution center.,Lecture Notes in Artificial Intelligence (Subseries of Lecture Notes in Computer Science),9121,477-488.,1,1,0,0,0,0,0,0,0,0,0,1,0
HR,"Simic, F., Rogulj, K., Jajac, N.",2017,A Decision Support Concept for a construction design project – selecting the type of glass façade.,Croatian Operational Research Review,8(1),333-350.,0,1,0,0,0,0,0,1,0,0,0,0,0
MK,"Simjanoska, M., Kochev, S., Tanevski, J., Madevska Bogdanova, A., Papa, G., Eftimov, T.",2020,Multi-level information fusion for learning a blood pressure predictive model using sensor data.,Information Fusion,58,24-39.,0,1,0,0,0,0,0,0,0,0,1,0,0
PT,"Simoes, S.G., Dias, L., Gouveia, J.P., Seixas, J., De Miglio, R., Chiodi, A., Gargiulo, M., Long, G., Giannakidis, G.",2019,InSmart – A methodology for combining modelling with stakeholder input towards EU cities decarbonisation.,Journal of Cleaner Production,231,428-445.,0,1,0,0,0,1,0,0,0,0,0,0,0
BR,"Simoes Gomes, C.F., Gomes Costa, H.",2012,Application of multicriteria methods to the problem of choice models of electronic payment by credit card.,Produçao,25(1),-,0,1,0,0,0,0,0,0,1,0,0,0,0
DE,"Simon, U., Bruggemann, R., Pudenz, S.",2004,Aspects of decision support in water management – example Berlin and Potsdam (Germany) I – spatially differentiated evaluation., Water Research,38, 1809–1816.,0,1,1,0,0,1,0,0,0,0,0,0,0
